id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
4905P0tRcD8TkzrP8NZEzj,Grey Skies,Grey Skies,Kate Bollinger,False,22,0.748,0.299,0,-9.114,1,0.0774,0.945,0.288,0.111,0.344,73.017,audio_features,spotify:track:4905P0tRcD8TkzrP8NZEzj,https://api.spotify.com/v1/tracks/4905P0tRcD8TkzrP8NZEzj,https://api.spotify.com/v1/audio-analysis/4905P0tRcD8TkzrP8NZEzj,2.7413333333333334,4
4dyx5SzxPPaD8xQIid5Wjj,Writer's Block,Young Folks,Peter Bjorn and John,False,74,0.699,0.812,0,-6.005,1,0.0377,0.0164,0.000763,0.105,0.662,138.185,audio_features,spotify:track:4dyx5SzxPPaD8xQIid5Wjj,https://api.spotify.com/v1/tracks/4dyx5SzxPPaD8xQIid5Wjj,https://api.spotify.com/v1/audio-analysis/4dyx5SzxPPaD8xQIid5Wjj,4.61155,4
3xBGFVU2b2PV556Q3ebsQH,Let My People Go,Didn't I,Darondo,False,0,0.377,0.387,5,-11.688,1,0.029,0.89,0.427,0.108,0.644,149.126,audio_features,spotify:track:3xBGFVU2b2PV556Q3ebsQH,https://api.spotify.com/v1/tracks/3xBGFVU2b2PV556Q3ebsQH,https://api.spotify.com/v1/audio-analysis/3xBGFVU2b2PV556Q3ebsQH,3.48645,4
3HdcqQpq7zb5GbEKBDY34p,Absolute Loser,Humbug Mountain Song,Fruit Bats,False,62,0.593,0.926,6,-5.361,0,0.0319,0.0355,0.0582,0.311,0.945,100.011,audio_features,spotify:track:3HdcqQpq7zb5GbEKBDY34p,https://api.spotify.com/v1/tracks/3HdcqQpq7zb5GbEKBDY34p,https://api.spotify.com/v1/audio-analysis/3HdcqQpq7zb5GbEKBDY34p,3.07245,4
5S0PHI6KZUVP8Rk6MXuRTy,Dreaming of Better Days,Losing You,Gizmo Varillas,False,17,0.68,0.863,2,-7.052,1,0.05,0.776,0.489,0.143,0.866,112.055,audio_features,spotify:track:5S0PHI6KZUVP8Rk6MXuRTy,https://api.spotify.com/v1/tracks/5S0PHI6KZUVP8Rk6MXuRTy,https://api.spotify.com/v1/audio-analysis/5S0PHI6KZUVP8Rk6MXuRTy,2.15685,4
32bzffb2ZCi52oaLiqfxlG,Mojo,Mojo,Claire Laffut,False,46,0.62,0.669,7,-7.339,1,0.103,0.359,0.128,0.166,0.527,110.772,audio_features,spotify:track:32bzffb2ZCi52oaLiqfxlG,https://api.spotify.com/v1/tracks/32bzffb2ZCi52oaLiqfxlG,https://api.spotify.com/v1/audio-analysis/32bzffb2ZCi52oaLiqfxlG,3.4638,4
7ibcRUZG4X2fSt0bM3bHWh,Aphrodite,Aphrodite,"TRESOR, Beatenberg",False,21,0.646,0.615,9,-12.868,1,0.0913,0.785,0.00234,0.269,0.664,95.988,audio_features,spotify:track:7ibcRUZG4X2fSt0bM3bHWh,https://api.spotify.com/v1/tracks/7ibcRUZG4X2fSt0bM3bHWh,https://api.spotify.com/v1/audio-analysis/7ibcRUZG4X2fSt0bM3bHWh,3.91245,4
7tbpHQMGcySPP07HlhWcBQ,Small Town Girl,Small Town Girl,Bakar,False,53,0.814,0.52,5,-5.651,1,0.0418,0.832,0.0,0.273,0.734,129.949,audio_features,spotify:track:7tbpHQMGcySPP07HlhWcBQ,https://api.spotify.com/v1/tracks/7tbpHQMGcySPP07HlhWcBQ,https://api.spotify.com/v1/audio-analysis/7tbpHQMGcySPP07HlhWcBQ,3.084616666666667,4
1eRqy8jW4ZLMJR6dl3xsgI,First Band On The Moon,Lovefool - Radio Edit,The Cardigans,False,0,0.644,0.599,9,-7.941,1,0.0291,0.0445,0.0,0.286,0.948,111.829,audio_features,spotify:track:1eRqy8jW4ZLMJR6dl3xsgI,https://api.spotify.com/v1/tracks/1eRqy8jW4ZLMJR6dl3xsgI,https://api.spotify.com/v1/audio-analysis/1eRqy8jW4ZLMJR6dl3xsgI,3.23155,4
75apix2UAgpUaEGlUzHDCh,Declaration Of Dependence,24-25,Kings of Convenience,False,48,0.597,0.175,4,-17.509,1,0.0397,0.952,0.0948,0.114,0.215,122.929,audio_features,spotify:track:75apix2UAgpUaEGlUzHDCh,https://api.spotify.com/v1/tracks/75apix2UAgpUaEGlUzHDCh,https://api.spotify.com/v1/audio-analysis/75apix2UAgpUaEGlUzHDCh,3.637783333333333,4
