danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.558,0.723,-11.214,0.0312,0.00405,0.501,0.0863,0.526,102.833,7.574666666666666
0.515,0.565,-7.446,0.0376,0.675,0.000702,0.107,0.622,160.046,2.956
0.546,0.696,-6.537,0.0335,0.0887,1.84e-05,0.195,0.596,89.882,4.109783333333334
0.638,0.535,-7.792,0.0415,0.623,0.0391,0.0837,0.504,84.947,4.62755
0.564,0.585,-8.823,0.0379,0.202,0.00206,0.118,0.624,161.667,3.44475
0.763,0.382,-8.633,0.0276,0.235,0.00663,0.108,0.264,109.944,3.985333333333333
0.475,0.383,-14.202,0.0375,0.362,0.749,0.0728,0.524,114.709,6.808
0.484,0.0874,-17.796,0.0394,0.894,0.154,0.11,0.219,94.163,4.268666666666666
0.637,0.625,-9.783,0.0382,0.734,0.514,0.128,0.896,160.748,3.14
0.747,0.802,-5.768,0.0351,0.284,0.00258,0.102,0.589,117.001,4.375116666666667
0.267,0.828,-4.592,0.0746,0.00956,0.409,0.143,0.203,117.886,3.276
0.408,0.436,-7.712,0.0345,0.805,1.72e-06,0.305,0.474,175.024,4.745116666666667
0.307,0.805,-10.121,0.0381,0.0014,0.344,0.139,0.712,164.91,3.9942166666666665
0.567,0.424,-9.663,0.0274,0.84,0.00322,0.134,0.445,94.443,4.94555
0.711,0.292,-15.523,0.037,0.313,0.0,0.131,0.194,103.951,4.946666666666666
0.627,0.497,-7.371,0.0465,0.348,0.243,0.0926,0.929,80.666,3.760666666666667
0.737,0.436,-9.146,0.0555,0.161,0.106,0.16,0.36,83.022,3.450633333333333
0.825,0.519,-7.397,0.0497,0.0135,0.124,0.0782,0.764,113.01,8.001816666666667
0.586,0.941,-5.139,0.0375,0.0167,0.000776,0.068,0.831,135.448,3.7268833333333333
0.764,0.442,-10.548,0.0355,0.725,0.00066,0.0807,0.106,123.069,3.8385
0.755,0.842,-7.293,0.129,0.388,0.541,0.105,0.798,123.203,8.609783333333333
0.52,0.571,-10.326,0.036,0.168,5.14e-06,0.17,0.701,161.051,3.99445
0.522,0.379,-14.096,0.0286,0.635,0.925,0.114,0.454,133.698,4.193333333333333
0.632,0.276,-13.697,0.0594,0.632,0.293,0.157,0.237,129.693,7.84245
0.684,0.209,-15.314,0.0326,0.896,0.0145,0.114,0.413,82.274,3.0913333333333335
0.551,0.254,-14.48,0.0415,0.962,0.933,0.0994,0.54,81.053,6.142316666666667
0.649,0.753,-7.539,0.0306,0.139,0.858,0.0512,0.84,102.147,6.2911166666666665
0.501,0.156,-12.603,0.0366,0.802,0.00266,0.0972,0.0671,104.562,4.12735
0.652,0.685,-7.804,0.0281,0.194,0.00234,0.116,0.451,93.984,2.8322166666666666
0.565,0.832,-5.751,0.108,0.0639,0.0291,0.386,0.847,143.302,2.89815
0.711,0.586,-9.78,0.0514,0.435,6.48e-06,0.15,0.931,124.058,2.4751166666666666
0.762,0.552,-7.211,0.0331,0.728,0.000618,0.0844,0.1,123.077,3.8385
0.593,0.791,-8.698,0.068,0.175,0.0,0.0976,0.63,112.295,3.1466666666666665
0.68,0.426,-13.683,0.0652,0.756,0.000148,0.11,0.661,99.078,2.4577833333333334
0.611,0.645,-8.254,0.0634,0.724,0.0,0.715,0.748,125.156,3.0406666666666666
0.685,0.623,-11.146,0.042,0.228,0.00234,0.0295,0.896,126.739,2.866
0.846,0.595,-8.372,0.0439,0.0904,1.96e-06,0.063,0.78,101.632,3.28045
0.593,0.642,-7.284,0.0299,0.313,0.000582,0.0804,0.736,76.403,3.990666666666667
0.727,0.493,-5.054,0.0269,0.476,5.69e-05,0.0354,0.616,134.608,3.6882166666666665
0.769,0.47,-9.526,0.158,0.054,5.14e-06,0.0628,0.465,82.505,4.35955
0.682,0.605,-10.771,0.0403,0.185,0.00326,0.0469,0.914,125.96,2.856
0.802,0.808,-4.064,0.0366,0.0468,0.000229,0.0771,0.962,128.51,3.4226666666666667
0.496,0.502,-7.696,0.052,0.251,0.0,0.0935,0.144,78.042,3.2457666666666665
